X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes,type 2
0.3,1.4,3.4,8.56,22.2917,0.9052,#176195,06aXuHdnfDevf7cb6ywj3a,0.3476,IfcWallStandardCase,0.384,G
0.4,2.1,3.4,14.2,11.6776,0.4535,#176493,06aXuHdnfDevf7cb6ywj2L,0.5515,IfcWallStandardCase,1.216,G
0.3,6.6,3.4,42.88,20.9375,0.9022,#176617,06aXuHdnfDevf7cb6ywj1N,1.8477,IfcWallStandardCase,2.048,G
0.3,3,3.4,19.12,21.3393,0.9027,#176741,06aXuHdnfDevf7cb6ywjBu,0.8088,IfcWallStandardCase,0.896,G
0.8,0.5,3.78,6.804,10.5587,0.3005,#176886,06aXuHdnfDevf7cb6ywj98,0.1936,IfcWallStandardCase,0.6444,G
0.3,5.2,3.4,33.64,21.025,0.9023,#177459,06aXuHdnfDevf7cb6ywjHV,1.4437,IfcWallStandardCase,1.6,G
2.85,0.4,3.4,19.3,11.3797,0.4523,#177706,04yVcuklbCQvcOMspFJyDs,0.7672,IfcWallStandardCase,1.696,G
0.4,1.55,3.4,10.46,12.1065,0.456,#177763,04yVcuklbCQvcOMspFJyEf,0.394,IfcWallStandardCase,0.864,G
4.5,0.3,3.4,29.02,21.0901,0.9024,#177820,04yVcuklbCQvcOMspFJy8g,1.2416,IfcWallStandardCase,1.376,G
0.3,0.7,3.4,3.94,24.625,0.92,#177877,04yVcuklbCQvcOMspFJy8T,0.1472,IfcWallStandardCase,0.16,G
0.4,0.7,3.4,4.68,14.625,0.4858,#177934,04yVcuklbCQvcOMspFJy9K,0.1555,IfcWallStandardCase,0.32,G
3.4,0.4,3.4,23.04,11.25,0.4519,#177991,04yVcuklbCQvcOMspFJysg,0.9256,IfcWallStandardCase,2.048,G
1.175,0.4,3.4,7.91,12.6763,0.4604,#178048,04yVcuklbCQvcOMspFJytX,0.2873,IfcWallStandardCase,0.624,G
0.4,4.7,19.42,182.4685,10.5485,0.0752,#178105,04yVcuklbCQvcOMspFJytO,1.3003,IfcWallStandardCase,17.298,G
