,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
55,13.1,0.6,1.3,39.5799,6.9732,0.6564,#344489,0OK9Iu4NbCagRYhPxqAW20,3.7257,IfcBeam,5.676
56,12.5,0.6,1.3,37.78,6.9808,0.6564,#344559,0OK9Iu4NbCagRYhPxqAW3d,3.5526,IfcBeam,5.412
57,0.6,7.9746,1.3,24.2038,7.0754,0.6569,#344594,0OK9Iu4NbCagRYhPxqAW3b,2.2473,IfcBeam,3.4208
58,12.9,0.6,1.3,38.98,6.9757,0.6564,#344629,0OK9Iu4NbCagRYhPxqAW3h,3.668,IfcBeam,5.588
59,0.6,7.2,1.3,21.88,7.1039,0.6572,#344664,0OK9Iu4NbCagRYhPxqAW3f,2.024,IfcBeam,3.08
60,0.6,6.6746,1.3,20.3038,7.1271,0.6573,#344699,0OK9Iu4NbCagRYhPxqAW0E,1.8726,IfcBeam,2.8488
61,8.1687,0.6,2.045,24.58,7.0713,0.654,#344738,25mT0OM1j87vRzXBQPQhaB,2.2734,IfcBeam,3.476
62,4.14,0.6,1.3,12.7,7.3258,0.6595,#344774,2bdzlacETDVRWOnrJJtIhp,1.1432,IfcBeam,1.7336
63,0.6,7.9995,1.3,24.2785,7.0746,0.6569,#344879,3VTvY7HE53qftF9dGuk4Ab,2.2545,IfcBeam,3.4318
64,2.6746,0.6,1.3,8.3038,7.6264,0.6646,#344949,36h2UZPDfAw8BDeyeiSc24,0.7236,IfcBeam,1.0888
65,2.2746,0.6,1.3,7.1038,7.7822,0.6682,#345054,36h2UZPDfAw8BDeyeiScEn,0.6099,IfcBeam,0.9128
66,0.6,11.0746,1.3,33.5038,7.0021,0.6565,#345124,36h2UZPDfAw8BDeyeiScJZ,3.1413,IfcBeam,4.7848
67,0.8,11.0746,1.3,38.2936,5.3354,0.4381,#345159,36h2UZPDfAw8BDeyeiScSm,3.144,IfcBeam,7.1772
68,10.0746,0.7,1.3,32.6987,6.0207,0.5255,#345301,36h2UZPDfAw8BDeyeiSdpF,2.8542,IfcBeam,5.431
69,9.2746,0.7,1.3,30.1387,6.0386,0.5257,#345338,36h2UZPDfAw8BDeyeiSdoV,2.6236,IfcBeam,4.991
70,0.7,7.3746,1.3,24.0587,6.0969,0.5261,#345443,36h2UZPDfAw8BDeyeiSdmu,2.0762,IfcBeam,3.946
71,0.7,6.7746,1.3,22.1387,6.1224,0.5264,#345478,36h2UZPDfAw8BDeyeiSdt2,1.9034,IfcBeam,3.616
72,0.7,6.6746,1.3,21.8187,6.1271,0.5264,#345513,36h2UZPDfAw8BDeyeiSdtc,1.8746,IfcBeam,3.561
73,0.6,6.6746,1.05,16.8665,7.6618,0.8507,#345758,36h2UZPDfAw8BDeyeiSdwr,1.8726,IfcBeam,2.2014
74,9.2746,0.6,1.05,23.3665,7.5733,0.8499,#345830,36h2UZPDfAw8BDeyeiSd$0,2.6222,IfcBeam,3.0854
75,0.7,8.2746,1.05,22.6514,6.6006,0.6805,#345900,36h2UZPDfAw8BDeyeiSd86,2.3354,IfcBeam,3.4317
76,0.6,7.7746,1.05,19.6165,7.617,0.8502,#345972,36h2UZPDfAw8BDeyeiSdD8,2.1896,IfcBeam,2.5754
77,0.6,11.8873,1.05,29.8982,7.5241,0.8495,#346007,36h2UZPDfAw8BDeyeiSdJK,3.3758,IfcBeam,3.9737
78,10.6746,0.6,1.05,26.8665,7.5439,0.8497,#346042,36h2UZPDfAw8BDeyeiSdIh,3.026,IfcBeam,3.5614
79,2.8873,0.6,1.05,7.3982,8.0972,0.8584,#346077,36h2UZPDfAw8BDeyeiSdHj,0.7843,IfcBeam,0.9137
80,2.4746,0.6,1.05,6.3665,8.2322,0.8621,#346112,36h2UZPDfAw8BDeyeiSdNp,0.6667,IfcBeam,0.7734
81,12.7746,0.6,1.3,38.6038,6.9772,0.6564,#346147,36h2UZPDfAw8BDeyeiSdMD,3.6318,IfcBeam,5.5328
82,12.6746,0.6,1.3,38.3038,6.9785,0.6564,#346322,36h2UZPDfAw8BDeyeiSdV6,3.603,IfcBeam,5.4888
83,0.6,11.7746,1.3,35.6038,6.991,0.6565,#346427,36h2UZPDfAw8BDeyeiSOZW,3.3433,IfcBeam,5.0928
84,10.0746,0.6,1.05,25.3665,7.5555,0.8497,#346567,36h2UZPDfAw8BDeyeiSOdt,2.8529,IfcBeam,3.3574
85,9.9746,0.6,1.05,25.1165,7.5576,0.8498,#346602,36h2UZPDfAw8BDeyeiSOgL,2.824,IfcBeam,3.3234
86,5.6873,0.6,0.8,11.4546,8.6978,1.206,#346672,36h2UZPDfAw8BDeyeiSOxF,1.5883,IfcBeam,1.317
87,0.6,6.5746,0.8,13.2291,8.6471,1.2052,#346709,36h2UZPDfAw8BDeyeiSOwX,1.8438,IfcBeam,1.5299
88,5.1373,0.6,0.8,10.3546,8.7384,1.2068,#346744,36h2UZPDfAw8BDeyeiSOuC,1.4299,IfcBeam,1.185
89,3.5058,0.6,0.8,7.0915,8.9383,1.2116,#346779,36h2UZPDfAw8BDeyeiSOui,0.9613,IfcBeam,0.7934
90,0.6,5.4746,0.8,11.0292,8.7125,1.2063,#346814,36h2UZPDfAw8BDeyeiSO_9,1.527,IfcBeam,1.2659
91,2.8798,0.6,1.05,7.3795,8.0993,0.8585,#348004,36h2UZPDfAw8BDeyeiSO0y,0.7822,IfcBeam,0.9111
92,2.4671,0.6,1.05,6.3477,8.2351,0.8622,#348039,36h2UZPDfAw8BDeyeiSO0Y,0.6646,IfcBeam,0.7708
93,2.7746,0.6,1.3,8.6038,7.595,0.664,#356509,2l409ntDT3Z8KgOyYPM4og,0.7521,IfcBeam,1.1328
94,12.1746,0.6,1.3,36.8038,6.9852,0.6564,#356544,2l409ntDT3Z8KgOyYPM4oe,3.4587,IfcBeam,5.2688
